instrument,call_year,research_institution,n_granted,amount_granted
SNSF Swiss Postdoctoral Fellowships,2022,Zurich University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2022,AO Research Institute,0,0
SNSF Starting Grants,2023,Graduate Institute of International and Development Studies,1,1800000
SNSF Consolidator Grants,2022,University of Neuchatel,0,0
SNSF Consolidator Grants,2023,Zurich University of Applied Sciences,0,0
SNSF Consolidator Grants,2023,University of Fribourg,0,0
SNSF Starting Grants,2022,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Starting Grants,2023,University of St.Gallen,0,0
SNSF Starting Grants,2023,Companies/  Private Industry,0,0
SNSF Starting Grants,2024,"Swiss Federal Institute for Forest, Snow and Landscape Research ",1,1800000
SNSF Advanced Grants,2024,Graduate Institute of International and Development Studies,0,0
SNSF Starting Grants,2024,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Starting Grants,2023,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Starting Grants,2024,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Advanced Grants,2021,Graduate Institute of International and Development Studies,0,0
SNSF Advanced Grants,2024,University of Basel,2,3798987
SNSF Swiss Postdoctoral Fellowships,2021,Swiss Institute of Bioinformatics,0,0
SNSF Advanced Grants,2021,Zurich University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Haute école pédagogique du canton de Vaud - HEP-VD,0,0
SNSF Starting Grants,2022,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Consolidator Grants,2022,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Swiss Postdoctoral Fellowships,2023,Zurich University of Applied Sciences,1,247094
SNSF Swiss Postdoctoral Fellowships,2024,Interkantonale Hochschule für Heilpädagogik,0,0
SNSF Swiss Postdoctoral Fellowships,2022,"Non-profit organisations (libraries, museums, foundations) and administration",0,0
SNSF Swiss Postdoctoral Fellowships,2021,Other Research Institutes,0,0
SNSF Starting Grants,2024,Idiap Research Institute,0,0
SNSF Starting Grants,2022,Swiss Distance University Institute,0,0
SNSF Advanced Grants,2021,Research Institutes Agroscope,0,0
SNSF Starting Grants,2022,Lucerne University of Applied Sciences and Arts,0,0
SNSF Starting Grants,2022,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Advanced Grants,2021,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Advanced Grants,2022,Institution abroad,0,0
SNSF Swiss Postdoctoral Fellowships,2021,"Non-profit organisations (libraries, museums, foundations) and administration",0,0
SNSF Advanced Grants,2024,Zurich University of the Arts,0,0
SNSF Advanced Grants,2024,"Swiss Federal Institute for Forest, Snow and Landscape Research ",1,1519991
SNSF Starting Grants,2024,Swiss Institute of Allergy and Asthma Research,0,0
SNSF Starting Grants,2022,Institute Friedrich Miescher,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Pädagogische Hochschule Schaffhausen,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of St.Gallen,0,0
SNSF Starting Grants,2023,"Swiss Federal Institute for Forest, Snow and Landscape Research ",1,1270540
SNSF Swiss Postdoctoral Fellowships,2023,"Non-profit organisations (libraries, museums, foundations) and administration",0,0
SNSF Starting Grants,2024,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Berne University of Applied Sciences,0,0
SNSF Advanced Grants,2021,Institute Friedrich Miescher,1,2173911
SNSF Consolidator Grants,2022,Swiss Institute of Allergy and Asthma Research,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Other Research Institutes,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Lucerne University of Applied Sciences and Arts,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Research Institute of Organic Agriculture,0,0
SNSF Consolidator Grants,2022,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Consolidator Grants,2023,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Swiss Postdoctoral Fellowships,2024,University of St.Gallen,0,0
SNSF Starting Grants,2024,Lucerne University of Applied Sciences and Arts,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Companies/  Private Industry,1,260640
SNSF Starting Grants,2024,Other Research Institutes,0,0
SNSF Swiss Postdoctoral Fellowships,2021,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Starting Grants,2023,University of Neuchatel,2,3599002
SNSF Swiss Postdoctoral Fellowships,2021,"Dipartimento formazione e apprendimento, Scuola universitaria professionale della Svizzera italiana – SUPSI-DFA",0,0
SNSF Consolidator Grants,2022,"Non-profit organisations (libraries, museums, foundations) and administration",0,0
